2021-02-19 19:07:43 INFO  - Task1 DB
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@1ae8bcbc KS-4168 Ad Server OS and Devices verify that specific devices can be targeted or not targeted 888
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-1637 Verify that Buyer can be created 318
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-5624 PSS Verify that Millennial Media Exchange can be added by Sellers admin and manager 601
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-563 Verify that new added dimensions are displayed in the report 145
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-4624 Verify that Mediation Ad Source can be created 601
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-6457 Impersonate Applications and Sites Verify that placement can be edited interstitial to banner 560
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-5004 Buyers Users Verify that Buyer admin can be edited 515
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-573 Verify that Seller Revenue report can be drilled down by Seller User 1977
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-5000 Sellers Users Verify that Seller admin can be edited 502
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-4357 Verify that connect partner without subscriptions can be deleted 335
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-1640 Verify that Buyer can be created with all fields filled in and checkboxes checked 201
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-5365 PSS Campagin Targeting verify that Android specific versions can be saved 870
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-6469 PSS Verify that Test Ad Source can be edited 915
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-4167 Ad Server verify that campaign can be saved and deployed 895
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-3204 Ad Server verify that actions can be performed for Inactive campaign 3014
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-6980 PSS Mediation Ad Source Verify that it's possible to copy tag 2157
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-4716 Settings Verify that MM only Block Group can be created by Nexage admin 1191
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-4884 PSS Campaign Direct Campaign verify that Name and Pricing section can be filled in 1690
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-3985 Ad Server Campaign Wifi and Carrier verify that carriers can be selected when no countries targeted 1005
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-6134 PSS: Verify that MM Exchange Ad Source can be created with default bidder groups 1115
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-5783 Sellers Tag Setup override settings for Banner different values Inherited from position 586
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-4619 Settings Verify search for Block Groups grid by Nexage admin 1705
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-1633 Verify that Buyers grid can be viewed 593
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-4454 PSS Verify that its possible to create placements on Mediation page 528
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-3691 Ad Server New Campaign verify that 3rd party tag can be added 507
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@6cdba6dc KS-5454 PSS Campaigns Targeting verify that the list of specific carriers depends on a list of allowed blocked countries 0
2021-02-19 19:07:55 INFO  - Task2 DB
2021-02-19 19:07:56 INFO  - Bercut 38
2021-02-19 19:07:56 INFO  - Brand Alley 14
2021-02-19 19:07:56 INFO  - Envisia 14
2021-02-19 19:07:56 INFO  - Iota 81
2021-02-19 19:07:56 INFO  - Megafon 35
2021-02-19 19:07:56 INFO  - Nexage 163
2021-02-19 19:08:03 INFO  - Task3 DB
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5615 Verify that Banner placement can be added from Applications and Sites grid 2016-10-12 22:09:40
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-3317 Deals Supply List verify that Buyer can be added 2016-10-12 22:09:53
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4930 Verify that ONE: Mobile Marketplace Ad Source can be edited 2016-10-12 22:11:25
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4389 Buyers Verify that Adnet can be created with required fields only general section is filled in 2016-10-12 22:43:36
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-3799 Ad Server Campaign Country Targeting verify that target countries can be selected 2016-10-13 00:08:58
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-3173 Verify that enabled or disabled deals can be disabled or enabled 2016-10-13 00:11:48
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5361 PSS Campaign Targeting verify that iOS specific devices can be saved 2016-10-13 00:11:55
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4632 PSS verify that MM Exchange ad source can be updated with allow bidders and bidder groups by Seller admin 2016-10-13 00:14:29
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4467 Connect partner: verify that created partner can be selected in the RTB Bidder Config 2016-10-13 00:17:29
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5367 PSS Campaign Targeting verify that specific other operating systems can be saved 2016-10-13 00:20:59
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5987 users: verify Nexage User can impersonate as Seller User only 2016-10-13 00:30:27
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5806 Verify that columns can be hidden and unhidden in Nexage Finance Reports 2016-10-13 00:30:46
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-6017 PSS Campaign Targeting verify that devices and versions from different OS can be saved 2016-10-13 00:36:20
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4356 Verify that Connect Partners can be edited 2016-10-13 00:37:41
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-1820 Verify that Bidder Configuration can be saved 2016-10-13 00:00:00
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5444 PSS Campaigns Targeting Country Targeting verify that blocked countries can be selected 2016-10-13 00:46:54
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4658 Settings Verify that Block Group can be created by Sellers admin 2016-10-13 00:48:03
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4675 Settings Verify that Publisher Bidder Group can be edited by Seller admin and manager 2016-10-13 00:50:33
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5815 PSS Verify that Ad Size can be overriden at tag level Impersonate 2016-10-13 00:52:45
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5759 Sellers: Position Setup: add In-stream Video position and check all correct data are shown in PSS, update in PSS and check in seller admin 2016-10-13 00:52:57
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5439 PSS Campaigns Targeting verify that campaign can be saved with Carriers only option and all carriers 2016-10-13 00:52:59
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5355 PSS Campaigns Targeting Custom Targeting verify that custom targeting group can be added 2016-10-13 00:53:10
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4322 Verify that Seller can be changed in impersonate drop-down 2016-10-13 00:54:25
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-6279 Verify that Seller user can be deleted 2016-10-13 00:59:49
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-6154 PSS Verify that its possible to set up Block bidders settings at RTB Default settings 2016-10-13 01:22:59
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4934 Verify that Geo Targeting can be edited from Block to Allow for MM Exchange Ad Source 2016-10-13 07:45:50
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-3955 Ad Server new campaign Position verify that positions and sites can be selected 2016-10-13 07:46:36
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4218 Impersonate Verify that role can be changed 2016-10-13 07:48:39
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-6998 PSS Verify that tag can be paused 2016-10-13 07:52:43
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4905 Impersonate PSS App Placement Overview toolbar is displayed correctly 2016-10-13 07:52:43
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-4939 Impersonate PSS New House Campaign verify that Name and Pricing section can be filled in 2016-10-13 07:55:28
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-2572 AVP verify that actions can be performed when status is Verified 2016-10-13 08:11:36
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-408 Verify that Reports tabs can be removed 2016-10-13 08:13:28
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5362 PSS Campaign Targeting verify that iOS specific versions can be saved 2016-10-13 08:21:30
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-5124 Impersonate PSS Verify that SAVE AND ADD PLACEMENT BUTTON saves the app site and forward user for placement creation 2016-10-13 08:22:05
